deliverCount,workYear,salaryMin,financeStage,pvScore,city,companyLogo,district,industryField,education,createTime,companySize,positionName,companyName,jobNature,companyLabelList,positionId,salaryAvg,salaryMax,showCount,positionType,positionAdvantage
0,3-5年,16,初创型(未融资),6.943488220913773,武汉,i/image/M00/08/F8/CgqKkVbRZE6AADiCAAAVtiQa0Ao526.JPG,武昌区,O2O,大专,2016-07-03 14:03:32,50-150人,建材采购经理,大件团购网,全职,"节日礼物,带薪年假,年度旅游,领导好",1978831,20,25,186,采购,五险一金 专业培训 节假福利 员工旅游
0,3-5年,5,初创型(未融资),2.7712369839567166,武汉,i/image/M00/08/F8/CgqKkVbRZE6AADiCAAAVtiQa0Ao526.JPG,武昌区,O2O,大专,2016-07-03 14:03:31,50-150人,人事经理,大件团购网,全职,"节日礼物,带薪年假,年度旅游,领导好",1978816,6,8,80,人力资源,五险一金 专业培训 员工旅游 股票期权
0,不限,15,上市公司,21.667499353913875,上海,i/image/M00/12/48/Cgp3O1blDwWAFaTkAAAZnrYVw7k924.jpg,虹口区,金融,学历不限,2016-07-03 13:44:47,2000人以上,客户经理（初、中、高级）/团队经理,兴业银行上海虹口支行,全职,,1581063,22,30,25,高端金融职位,气氛自由、岗位晋升、绩效奖金、管理规范
2,3-5年,20,上市公司,27.768057424433316,上海,i/image/M00/12/48/Cgp3O1blDwWAFaTkAAAZnrYVw7k924.jpg,虹口区,金融,学历不限,2016-07-03 13:44:45,2000人以上,行长助理,兴业银行上海虹口支行,全职,,1581058,30,40,27,高端金融职位,气氛自由、岗位晋升、绩效奖金、管理规范
4,1-3年,5,成长型(A轮),74.75956765954876,上海,upload/logo/ff8080814b62220e014b6315d9050086.jpg,徐汇区,移动互联网 · 社交网络,大专,2016-07-03 13:44:33,15-50人,媒体专员,上海人鱼线科技有限公司,全职,"节日礼物,年度旅游,扁平管理,帅哥多",1939433,7,10,51,市场/营销,潜力大，领导好，环境好，交通便利
0,1-3年,10,成长型(A轮),6.4072840030077165,上海,i/image/M00/32/09/Cgp3O1dNIv6AXI-HAADq5SaZcyY511.png,徐汇区,移动互联网,大专,2016-07-03 13:42:00,15-50人,品牌公关,闪悦科技,全职,,2043135,15,20,39,公关,交通便利，后台硬，福利好，有潜力
1,不限,10,成熟型(不需要融资),47.78003799748091,深圳,i/image/M00/01/B1/Cgp3O1ZzoDmAO3kaAABbHIhCyeQ812.jpg,南山区,移动互联网 · O2O,大专,2016-07-03 13:38:14,2000人以上,销售顾问,深圳链家房地产经纪有限公司,全职,"年底双薪,绩效奖金,帅哥多,技能培训",1784024,12,15,83,销售,5000底薪 完善的培训体系 多途径升职机会
0,不限,15,成熟型(不需要融资),69.97706352386967,深圳,i/image/M00/01/B1/Cgp3O1ZzoDmAO3kaAABbHIhCyeQ812.jpg,南山区,移动互联网 · O2O,大专,2016-07-03 13:38:11,2000人以上,销售经理,深圳链家房地产经纪有限公司,全职,"年底双薪,绩效奖金,帅哥多,技能培训",1784150,20,25,103,销售,5000高底薪 公司大规模发展 升职机会多
0,3-5年,20,成长型(不需要融资),4.701328507592823,北京,i/image/M00/29/88/Cgp3O1cwELGAMBXQAAAeurU90Zk532.png,朝阳区,移动互联网 · 电子商务,本科,2016-07-03 13:38:01,150-500人,运营经理,唯为家电,全职,,2043134,22,25,95,运营,期权奖励 五险一金 年终绩效奖金
0,1-3年,15,初创型(天使轮),70.86155615918489,深圳,i/image/M00/15/31/CgqKkVbrSEGADjfnAABBsjOt8LM156.jpg,龙华新区,移动互联网 · O2O,本科,2016-07-03 13:35:15,15-50人,技术合伙人,英达乐,全职,,1604371,17,20,128,高端技术职位,股权、五险一金、融资奖金、技术合伙人
5,3-5年,15,上市公司,32.011616554994276,广州,i/image/M00/3B/2D/Cgp3O1drUP2AKigLAAAeDt-4M48012.png,天河区,金融,本科,2016-07-03 13:33:30,500-2000人,运营总监,泛华企业集团,全职,"节日礼物,绩效奖金,年度旅游,管理规范",1971774,20,25,313,高端运营职位,上市公司 互联网产品
0,3-5年,15,成熟型(D轮及以上),0.030948935464365748,上海,image1/M00/00/33/CgYXBlTUXI-AC08_AACIkHlny3Y866.jpg,,移动互联网 · 企业服务,本科,2016-07-03 15:06:52,500-2000人,Java全栈,泛微,全职,"技能培训,带薪年假,绩效奖金,岗位晋升",2043168,17,20,3,后端开发,员工旅游、工作日美味三餐、舒心的工作氛围
0,1-3年,10,成熟型(D轮及以上),0.030948935464365748,上海,image1/M00/00/33/CgYXBlTUXI-AC08_AACIkHlny3Y866.jpg,,移动互联网 · 企业服务,本科,2016-07-03 15:06:49,500-2000人,web开发,泛微,全职,"技能培训,带薪年假,绩效奖金,岗位晋升",2043167,12,15,3,前端开发,一年两次加薪 年终奖 包四餐
3,1-3年,15,成长型(A轮),56.0486970862317,上海,i/image/M00/27/BA/Cgp3O1cosNSAdVQ9AABAu64UFVQ141.jpg,杨浦区,移动互联网 · 电子商务,本科,2016-07-03 14:28:46,50-150人,Python,小鹿美美,全职,"绩效奖金,岗位晋升,年度旅游,扁平管理",1379247,20,25,3099,后端开发,领导nice 晋升空间
7,1年以下,4,成长型(A轮),15.520017775030722,上海,i/image/M00/27/BA/Cgp3O1cosNSAdVQ9AABAu64UFVQ141.jpg,杨浦区,移动互联网 · 电子商务,本科,2016-07-03 14:28:44,50-150人,服装买手助理,小鹿美美,全职,"绩效奖金,岗位晋升,年度旅游,扁平管理",1777163,5,7,238,供应链,晋升空间 领导nice
1,3-5年,5,初创型(未融资),5.8811807103970315,武汉,i/image/M00/08/F8/CgqKkVbRZE6AADiCAAAVtiQa0Ao526.JPG,武昌区,O2O,大专,2016-07-03 14:03:30,50-150人,媒体公关经理,大件团购网,全职,"节日礼物,带薪年假,年度旅游,领导好",1978813,6,8,109,公关,五险一金 节假福利 员工旅游 期权激励
0,5-10年,16,初创型(未融资),8.175149102672314,武汉,i/image/M00/08/F8/CgqKkVbRZE6AADiCAAAVtiQa0Ao526.JPG,武昌区,O2O,大专,2016-07-03 14:03:23,50-150人,保险采购经理,大件团购网,全职,"节日礼物,带薪年假,年度旅游,领导好",1978811,20,25,235,采购,五险一金 节假福利 员工旅游 期权激励
2,3-5年,25,上市公司,22.298591568105543,上海,i/image/M00/12/48/Cgp3O1blDwWAFaTkAAAZnrYVw7k924.jpg,虹口区,金融,学历不限,2016-07-03 13:44:43,2000人以上,副行长,兴业银行上海虹口支行,全职,,1581057,37,50,25,高端金融职位,气氛自由、岗位晋升、绩效奖金、管理规范
